NAME,POSITION,AGENCY,ROLE
DATUK JOHARI SAIMAN,TIM. PENGERUSI,SEDCO MINING SDN. BHD.,PESERTA
YB DATUK HAJI RUSDIN @ MUSIDI BIN RIMAN,PENGERUSI,PERBADANAN PINJAMAN SABAH,PESERTA
DATUK SARINUM BINTI SADIKUN,TIMABALAN PENGERUSI,PERBADANAN PINJAMAN SABAH,PESERTA
DATUK MARY E DUMPANGOL @ AMINAH AMBROSE,AHLI LEMBAGA PENGARAH,PERBADANAN PINJAMAN SABAH,PESERTA
DATUK WILLIE TADAM,AHLI LEMBAGA PENGARAH,PERBADANAN PINJAMAN SABAH,PESERTA
NIXON BIN ABDUL HABI,AHLI LEMBAGA PENGARAH,PERBADANAN PINJAMAN SABAH,PESERTA
CHARLES PETER MOJUNTIN,KETUA PEGAWAI EKSEKUTIF,PERBADANAN PINJAMAN SABAH,PESERTA
MOHAMMAD FIRDAUS ISMAIL,ANAK SYARIKAT (BIPSB),PERBADANAN PINJAMAN SABAH,PESERTA
VINSON JIT YONG TAN,ANAK SYARIKAT (BIPSB),PERBADANAN PINJAMAN SABAH,PESERTA
DATUK HJ. FAISYAL BIN DATUK YUSOF HAMDAIN DIEGO,CHAIRMAN OF JETAMA SDN BHD,JETAMA SDN. BHD.,PESERTA
DATUK AHMAD NAIM BIN UDDANG,CHIEF EXECUTIVE OFFICER OF JETAMA SDN BHD,JETAMA SDN. BHD.,PESERTA
DATUK ABIDIN BIN MADINGKIR,CHAIRMAN OF JETAMA WATER SDN BHD,JETAMA WATER SDN. BHD.,PESERTA
DATUK REDONAH BAHANDA,PENGERUSI AHLI LEMBAGA PENGARAH,SEDCOVEST HOLDINGS SDN. BHD.,PESERTA
YAHYA BIN SIDEK,PENGURUS BESAR,SEDCOVEST HOLDINGS SDN. BHD.,PESERTA
JOEANNE LEE SOON EE,SETIAUSAHA EKSEKUTIF,MAJLIS PERKHIDMATAN MASYARAKAT SABAH (MPMS),PESERTA
SITTI AMIRAH BINTI HARMAN,BENDAHARI,MAJLIS PERKHIDMATAN MASYARAKAT SABAH (MPMS),PESERTA
IVY BENJAMIN BOTINGON,AHLI,MAJLIS PERKHIDMATAN MASYARAKAT SABAH (MPMS),PESERTA
YBRS. IR. TS. HJ. ROHAN BIN AHMAT,AHLI LEMBAGA PENGARAH,SABAH ENERGY CORPORATION SDN BHD,PESERTA
YBRS. TUAN OMAR SALIM BIN SAIDIN,AHLI LEMBAGA PENGARAH,SABAH ENERGY CORPORATION SDN BHD,PESERTA
YBRS. TUAN PATRICT @ SULAIMAN B SINNIL @ MOHD SABRI,AHLI LEMBAGA PENGARAH,SABAH ENERGY CORPORATION SDN BHD,PESERTA
YBHG. DATUK IR. TS. ADZMIR BIN ABD RAHMAN,CHIEF EXECUTIVE OFFICE,SABAH ENERGY CORPORATION SDN BHD,PESERTA
ENCIK AZHAR BIN EDRIS,"HEAD, BUSINESS DEVELOPMENT & GAS TRADING",SABAH ENERGY CORPORATION SDN BHD,PESERTA
IR. TS. FAIZAL BIN ROSDI,"HEAD, TECHNICAL SERVICES",SABAH ENERGY CORPORATION SDN BHD,PESERTA
DATUK AFIZAL BIN ALDIN,KETUA PEGAWAI EKSEKUTIF,SABAH ENERGY CORPORATION SDN BHD,PESERTA
TINDARAMA DR BANABAS @ BENEDICT TAPIN,PRESIDEN MAJLIS HAL EHWAL ANAK NEGERI SABAH,MAJLIS HAL EHWAL ANAK NEGERI SABAH,PESERTA
"YBHG DATUK DR. HAJAH ROSMAWATI HAJI LASUKI, JP",KETUA PEGAWAI EKSEKUTIF,SABAH INTERNATIONAL CONVENTION CENTER (SICC),PESERTA
EN JOHANN JOSEPH DIEGO @ JOHAN YUSOF HAMDAN,AHLI LEMBAGA PENGARAH,PERMODALAN BUMIPUTRA SABAH BERHAD,PESERTA
EN GHULAM HASSAN BIN MOHD RAJIN,PENGURUS BESAR (MERANGKAP),PERMODALAN BUMIPUTRA SABAH BERHAD,PESERTA
DR. LIN YIN MEW @ PAUL,PENGARAH,POIC SDN BHD,PESERTA
DATUK FREDIAN GAN,KETUA PEGAWAI EKSEKUTIF KUMPULAN,POIC SDN BHD,PESERTA
